Temp,Time,Volume
100,10,21.62434536366324
100,10,19.388243586349926
100,10,19.471828247736543
100,10,18.92703137784383
100,10,20.86540762932468
100,10,17.698461303119718
100,10,21.74481176421648
100,10,19.238793099104896
100,10,20.3190390960571
100,10,19.75062962452259
100,30,25.577256946860636
100,30,22.873019701023978
100,30,22.192994936144018
100,30,18.273014593271018
100,30,21.445223594971203
100,30,21.290482041462027
100,30,21.83451703703508
100,30,20.745998646352305
100,30,21.912363662048143
100,30,21.045563939280996
200,10,21.05056170714294
200,10,21.499951333237828
200,10,20.004091068893135
200,10,21.693598508291313
200,10,20.581698479973088
200,10,19.415422764887875
200,10,20.35229323287815
200,10,21.598575173967376
200,10,21.332250032609963
200,10,19.85252336705452
200,30,21.68821632651248
200,30,22.729003923612503
200,30,22.217820788076
200,30,21.10090820345286
200,30,19.513219348372136
200,30,22.91325152123589
200,30,23.127063725971833
200,30,20.485906771369784
200,30,23.639291082937692
200,30,21.57010639699365
