Density,Line
71.62434536366324,A
69.38824358634993,A
69.47182824773654,A
68.92703137784383,A
70.86540762932468,A
67.69846130311971,A
71.74481176421648,A
69.2387930991049,A
70.3190390960571,A
69.75062962452259,A
69.58324215259454,B
69.94373317277368,B
67.86380390433155,B
71.64027080840499,B
68.20656441480514,B
69.1582526343438,B
70.50288141715804,B
68.75471191339277,B
68.94204778113766,B
69.09099238507315,B
72.07725694686064,C
69.37301970102398,C
68.69299493614402,C
65.27301459327101,C
67.9452235949712,C
67.79048204146203,C
68.93451703703508,C
67.7459986463523,C
68.91236366204815,C
67.545563939281,C
69.05056170714293,D
69.49995133323783,D
68.00409106889313,D
69.69359850829132,D
68.58169847997308,D
67.41542276488788,D
68.35229323287815,D
69.59857517396738,D
69.33225003260996,D
67.85252336705452,D
69.44122748688504,E
68.66912984810591,E
71.43077118700778,E
68.74790787039693,E
69.10960984157818,E
70.58248111706156,E
68.09076759514376,E
68.4083633420697,E
69.18760322583704,E
68.67013004222063,E
